Marker	Allele	LUS	BP	AfAm	Cau	Hisp	Asian
D21S11	31.2	11	215	35	71	47	7
D21S11	32	13	217	6	4	8	11
D21S11	32.2	12.6667	219	42	65	60	22
D21S11	33	14	221	3	1	2	3
D21S11	33.1	NA	222	2	0	1	0
D21S11	33.2	12.6667	223	24	19	16	9
D21S11	34	13	225	4	0	1	0
D21S11	34.2	14	227	0	3	0	0
D21S11	35	11.5	229	15	1	0	0
D21S11	36	12.6667	233	6	1	0	0
D21S11	37	12.5	237	2	0	0	0
D21S11	38	12.25	241	1	0	0	0
D21S11	39	NA	245	1	0	0	0
D21S11	-100	NA	NA	0	0	0	0
D8S1179	8	8	125	5	10	7	0
D8S1179	9	9	129	3	4	3	0
D8S1179	10	10	133	21	74	44	24
D8S1179	11	11	137	36	55	25	23
D8S1179	12	12	141	89	121	61	23
D8S1179	13	11	145	150	238	129	39
D8S1179	14	12	149	201	120	124	39
D8S1179	15	13	153	130	75	61	25
D8S1179	16	13	157	44	24	15	18
D8S1179	17	13	161	3	1	2	2
D8S1179	18	15	165	2	0	1	1
D8S1179	-100	NA	NA	0	0	0	0
FGA	16	8	209	0	0	0	0
FGA	16.2	9	211	1	0	0	0
FGA	17	9	213	0	0	1	2
FGA	17.2	NA	215	1	0	0	0
FGA	18	10	217	1	18	6	5
FGA	18.2	11	219	12	0	0	0
FGA	19	11	221	35	36	38	11
FGA	19.2	12	223	2	0	0	0
FGA	20	12	225	37	89	40	17
FGA	20.2	13	227	0	0	0	0
FGA	21	13	229	84	129	72	20
FGA	21.2	14	231	0	4	0	0
FGA	22	14	233	136	148	78	47
FGA	22.2	15	235	3	9	2	0
FGA	22.3	15	236	1	0	0	0
FGA	23	15	237	116	110	57	40
FGA	23.2	16	239	1	2	2	0
FGA	24	16	241	91	97	67	29
FGA	24.2	17	243	0	1	0	1
FGA	25	17	245	81	57	56	14
FGA	25.2	18	247	1	0	0	0
FGA	26	18	249	48	19	29	6
FGA	26.2	19	251	0	0	0	0
FGA	27	16	253	16	3	21	1
FGA	27.2	20	255	0	0	0	0
FGA	28	20	257	10	0	1	0
FGA	28.2	21	259	0	0	0	0
FGA	29	15	261	4	0	1	0
FGA	29.2	NA	263	0	0	0	0
FGA	30	16	265	1	0	1	0
FGA	30.2	14	267	1	0	0	0
FGA	31	NA	269	0	0	0	0
FGA	31.2	15	271	1	0	0	0
FGA	43.2	NA	319	0	0	0	1
FGA	-100	NA	NA	0	0	0	0
D3S1358	11	NA	108	0	1	0	0
D3S1358	12	NA	112	3	0	0	0
D3S1358	13	10	116	2	1	3	0
D3S1358	14	11	120	62	77	37	5
D3S1358	15	11.5	124	211	197	152	71
D3S1358	15.2	NA	126	1	0	0	0
D3S1358	16	12.5	128	218	172	132	64
D3S1358	17	13.5	132	145	152	87	39
D3S1358	18	14	136	39	109	58	13
D3S1358	19	15	140	3	12	2	2
D3S1358	20	NA	144	0	1	1	0
D3S1358	-100	NA	NA	0	0	0	0
D16S539	5	5	231	1	0	0	0
D16S539	6	NA	235	0	0	0	0
D16S539	7	NA	239	0	0	0	0
D16S539	8	8	243	22	13	9	0
D16S539	9	9	247	125	77	66	69
D16S539	10	10	251	80	41	71	32
D16S539	11	11	255	215	227	125	37
D16S539	12	12	259	140	227	131	34
D16S539	13	13	263	84	118	63	19
D16S539	14	14	267	17	19	6	3
D16S539	15	15	271	0	0	1	0
D16S539	-100	NA	NA	0	0	0	0
D19S433	9	7	103	0	0	1	0
D19S433	10	8	107	7	1	1	0
D19S433	11	9	111	43	4	7	0
D19S433	12	10	115	84	51	31	7
D19S433	12.2	NA	117	25	1	6	5
D19S433	13	11	119	168	184	105	55
D19S433	13.2	NA	121	36	5	21	4
D19S433	14	12	123	144	261	167	58
D19S433	14.2	NA	125	51	17	18	20
D19S433	15	13	127	55	113	64	12
D19S433	15.2	NA	129	42	26	26	24
D19S433	16	14	131	3	41	12	2
D19S433	16.2	NA	133	18	11	13	6
D19S433	17	15	135	0	5	0	0
D19S433	17.2	NA	137	6	1	0	1
D19S433	18	16	139	0	0	0	0
D19S433	18.2	NA	141	2	1	0	0
D19S433	-100	NA	NA	0	0	0	0
D2S1338	15	NA	291	1	1	0	0
D2S1338	16	NA	295	38	27	14	4
D2S1338	17	11	299	69	134	80	11
D2S1338	18	NA	303	29	53	38	26
D2S1338	19	NA	307	95	87	91	35
D2S1338	20	NA	311	71	113	60	31
D2S1338	21	NA	315	93	27	15	3
D2S1338	22	NA	319	94	25	27	10
D2S1338	23	13	323	71	76	66	32
D2S1338	24	NA	327	57	83	36	25
D2S1338	25	NA	331	53	74	37	9
D2S1338	26	NA	335	10	22	8	7
D2S1338	27	NA	339	3	0	0	1
D2S1338	-100	NA	NA	0	0	0	0
CSF1PO	7	7	309	38	0	6	4
CSF1PO	8	8	313	38	4	2	0
CSF1PO	9	9	317	27	10	11	13
CSF1PO	10	10	321	171	159	112	39
CSF1PO	11	11	325	170	223	132	42
CSF1PO	12	12	329	202	260	177	75
CSF1PO	13	13	333	32	59	28	17
CSF1PO	14	14	337	6	7	3	3
CSF1PO	15	15	341	0	0	1	1
CSF1PO	-100	NA	NA	0	0	0	0
D13S317	8	8	205	19	87	52	42
D13S317	9	9	209	23	56	78	28
D13S317	10	10	213	21	34	47	20
D13S317	11	11	217	212	235	103	52
D13S317	12	12	221	286	194	111	41
D13S317	13	13	225	96	84	50	11
D13S317	14	14	229	27	31	29	0
D13S317	15	15	233	0	1	2	0
D13S317	-100	NA	NA	0	0	0	0
D5S818	7	7	134	2	2	16	3
D5S818	8	8	138	32	4	4	1
D5S818	9	9	142	22	30	25	19
D5S818	10	10	146	50	40	27	44
D5S818	11	11	150	160	257	184	53
D5S818	12	12	154	252	280	160	40
D5S818	13	13	158	153	103	51	31
D5S818	14	14	162	11	5	4	3
D5S818	15	15	166	2	1	1	0
D5S818	-100	NA	NA	0	0	0	0
D7S820	6	6	257	1	0	0	0
D7S820	7	7	261	8	20	5	1
D7S820	8	8	265	156	104	57	26
D7S820	8.1	NA	266	0	1	0	0
D7S820	9	9	269	79	121	43	9
D7S820	10	10	273	230	185	145	51
D7S820	10.3	10.3	276	0	0	1	0
D7S820	11	11	277	139	148	131	68
D7S820	12	12	281	60	115	73	34
D7S820	13	13	285	10	25	17	5
D7S820	14	14	289	1	3	0	0
D7S820	-100	NA	NA	0	0	0	0
TPOX	5	5	213	0	1	0	0
TPOX	6	6	217	61	1	4	0
TPOX	7	7	221	12	0	3	0
TPOX	8	8	225	251	379	229	106
TPOX	9	9	229	133	92	44	16
TPOX	10	10	233	59	36	23	6
TPOX	11	11	237	147	182	120	57
TPOX	12	12	241	18	30	49	9
TPOX	13	13	245	1	1	0	0
TPOX	-100	NA	NA	0	0	0	0
D10S1248	8	8	227	2	0	0	0
D10S1248	9	9	231	2	0	0	0
D10S1248	10	10	235	5	0	0	1
D10S1248	11	11	239	24	1	2	0
D10S1248	12	12	243	89	23	20	17
D10S1248	13	13	247	160	222	129	62
D10S1248	14	14	251	189	215	160	49
D10S1248	15	15	255	135	142	100	40
D10S1248	16	16	259	60	96	47	19
D10S1248	17	17	263	17	20	12	6
D10S1248	18	18	267	1	1	1	0
D10S1248	19	19	271	0	2	1	0
D10S1248	-100	NA	NA	0	0	0	0
D12S391	14	14	205	1	0	0	0
D12S391	15	15	209	53	23	21	8
D12S391	16	16	213	46	16	20	2
D12S391	17	17	217	114	92	36	16
D12S391	17.1	NA	218	3	0	0	0
D12S391	17.3	NA	220	3	15	8	0
D12S391	18	18	221	173	124	84	51
D12S391	18.1	NA	222	1	0	0	0
D12S391	18.3	NA	224	3	18	6	0
D12S391	19	19	225	101	90	89	34
D12S391	19.1	NA	226	6	0	1	0
D12S391	19.3	NA	228	3	3	3	1
D12S391	20	20	229	71	80	73	38
D12S391	20.1	NA	230	2	0	0	0
D12S391	20.3	NA	232	0	0	1	0
D12S391	21	21	233	44	0	53	19
D12S391	22	22	237	25	93	32	11
D12S391	23	23	241	20	69	1	5
D12S391	24	24	245	9	50	27	2
D12S391	24.3	NA	248	0	34	8	1
D12S391	25	25	249	6	12	3	3
D12S391	26	26	253	0	2	3	2
D12S391	27	27	257	0	1	3	1
D12S391	-100	NA	NA	0	0	0	0
D1S1656	10	10	125	10	2	3	0
D1S1656	11	11	129	31	56	13	6
D1S1656	12	12	133	44	84	42	9
D1S1656	13	13	137	69	48	54	26
D1S1656	14	14	141	176	57	55	12
D1S1656	14.3	NA	144	5	2	2	0
D1S1656	15	15	145	108	108	65	54
D1S1656	15.3	NA	148	20	42	24	0
D1S1656	16	16	149	75	98	83	39
D1S1656	16.3	NA	152	70	44	24	3
D1S1656	17	17	153	19	34	20	14
D1S1656	17.3	NA	154	34	96	70	17
D1S1656	18	18	157	2	4	3	3
D1S1656	18.3	NA	158	16	36	12	10
D1S1656	19	19	161	0	0	0	0
D1S1656	19.3	NA	164	5	11	2	1
D1S1656	-100	NA	NA	0	0	0	0
D22S1045	8	8	129	5	0	0	0
D22S1045	9	9	133	0	0	0	0
D22S1045	10	10	137	28	0	7	0
D22S1045	11	11	141	99	101	30	39
D22S1045	12	12	145	37	9	6	1
D22S1045	13	13	149	2	5	4	0
D22S1045	14	14	153	53	41	13	2
D22S1045	15	15	157	172	232	201	60
D22S1045	16	16	161	131	276	165	44
D22S1045	17	17	165	143	54	43	43
D22S1045	18	18	169	10	4	3	4
D22S1045	19	19	173	4	0	0	1
D22S1045	-100	NA	NA	0	0	0	0
D2S441	8	8	76	0	0	0	1
D2S441	9	9	80	2	1	0	0
D2S441	9.1	NA	81	0	1	0	1
D2S441	10	10	84	58	152	159	52
D2S441	11	11	88	248	248	141	68
D2S441	11.3	NA	91	30	44	21	6
D2S441	12	12	92	113	34	17	42
D2S441	12.3	NA	95	4	3	1	1
D2S441	13	13	96	30	21	11	5
D2S441	13.3	NA	99	2	0	0	0
D2S441	14	14	100	183	174	97	16
D2S441	14.3	NA	103	1	0	0	0
D2S441	15	15	104	13	43	23	2
D2S441	16	16	108	0	1	1	0
D2S441	17	17	112	0	0	1	0
D2S441	-100	NA	NA	0	0	0	0
SE33	6.3	6.3	212	0	0	1	0
SE33	7	7	213	1	0	0	0
SE33	8	8	217	0	0	0	0
SE33	9	9	221	0	0	0	0
SE33	10	10	225	0	0	0	0
SE33	10.2	NA	227	1	0	0	0
SE33	11	11	229	0	1	0	0
SE33	11.2	NA	231	2	0	0	0
SE33	12	12	233	2	5	2	0
SE33	12.2	NA	235	2	0	2	0
SE33	13	13	237	8	12	4	0
SE33	13.2	NA	239	4	0	0	0
SE33	14	14	241	35	18	13	0
SE33	14.2	NA	243	4	2	1	0
SE33	15	15	245	30	29	17	2
SE33	15.2	NA	247	2	0	3	0
SE33	16	16	249	33	29	33	6
SE33	16.2	NA	251	3	1	0	0
SE33	16.3	NA	252	0	0	2	6
SE33	17	17	253	65	45	36	0
SE33	17.2	NA	255	1	0	0	0
SE33	17.3	NA	256	1	1	2	0
SE33	18	18	257	82	52	52	12
SE33	18.2	NA	259	0	0	0	0
SE33	18.3	NA	261	0	1	42	0
SE33	19	19	263	87	52	3	12
SE33	19.2	NA	265	0	3	23	0
SE33	20	20	267	67	42	2	18
SE33	20.2	NA	269	2	7	8	3
SE33	21	21	271	33	18	8	10
SE33	21.2	NA	273	7	17	7	5
SE33	22	22	275	10	10	10	3
SE33	22.2	NA	277	3	27	0	8
SE33	23	23	279	5	2	11	2
SE33	23.2	NA	281	12	26	0	9
SE33	24	24	283	0	1	11	0
SE33	24.2	NA	285	9	16	0	12
SE33	25	25	287	0	0	11	0
SE33	25.2	NA	289	21	30	0	11
SE33	26	26	291	1	0	35	0
SE33	26.2	NA	293	43	30	1	14
SE33	27	27	295	0	0	36	0
SE33	27.2	NA	297	29	68	1	20
SE33	28	28	299	0	0	0	0
SE33	28.2	NA	301	31	55	32	15
SE33	28.3	NA	302	1	1	0	0
SE33	29	29	303	0	0	0	0
SE33	29.2	NA	305	16	40	29	12
SE33	30	30	307	0	0	1	0
SE33	30.2	NA	309	11	41	19	7
SE33	31	31	311	1	2	0	0
SE33	31.2	NA	313	11	17	6	5
SE33	32	32	315	0	1	0	0
SE33	32.2	NA	317	3	9	5	2
SE33	33	33	319	0	1	1	0
SE33	33.2	NA	321	2	3	2	0
SE33	34	34	323	2	6	0	0
SE33	34.2	NA	325	0	1	0	0
SE33	35	35	327	0	0	0	0
SE33	36	36	331	1	0	0	0
SE33	-100	NA	NA	0	0	0	0
