Marker	Allele	LUS	BP	EA1	EA3	EA4
FGA	18	10	217	20	4	3
FGA	18.2	11	219	0	5	0
FGA	19	11	221	50	19	23
FGA	19.2	12	223	0	1	0
FGA	20	12	225	125	21	38
FGA	20.2	13	227	0	1	0
FGA	21	13	229	155	41	59
FGA	21.2	14	231	2	0	4
FGA	22	14	233	144	49	58
FGA	22.2	15	235	17	0	0
FGA	23	15	237	135	79	70
FGA	23.2	16	239	3	1	3
FGA	24	16	241	121	47	74
FGA	24.2	17	243	0	0	2
FGA	25	17	245	67	20	43
FGA	25.2	18	247	0	0	2
FGA	26	18	249	25	26	14
FGA	27	16	253	9	7	5
FGA	28	20	257	1	4	2
FGA	29	15	261	0	1	0
FGA	30.2	14	267	0	1	0
FGA	46.2	13	331	0	1	0
FGA	-100	NA	NA	0	0	0
D3S1358	12	NA	112	1	0	0
D3S1358	13	10	116	5	1	1
D3S1358	14	11	120	115	26	24
D3S1358	15	11.5	124	232	88	110
D3S1358	16	12.5	128	216	115	125
D3S1358	17	13.5	132	170	76	88
D3S1358	18	14	136	123	21	47
D3S1358	19	15	140	12	1	5
D3S1358	-100	NA	NA	0	0	0
D16S539	4	NA	227	0	0	0
D16S539	4.2	NA	229	0	0	0
D16S539	5	5	231	0	1	0
D16S539	5.2	NA	233	0	0	0
D16S539	6	NA	235	0	0	0
D16S539	7	NA	239	0	0	0
D16S539	7.2	NA	241	0	0	0
D16S539	8	8	243	17	5	23
D16S539	8.2	NA	245	0	0	0
D16S539	9	9	247	113	62	77
D16S539	9.2	NA	249	0	0	0
D16S539	10	10	251	47	39	46
D16S539	10.2	NA	253	0	0	0
D16S539	11	11	255	253	114	117
D16S539	11.2	NA	257	0	0	0
D16S539	12	12	259	252	73	82
D16S539	12.2	NA	261	0	0	0
D16S539	13	13	263	163	27	48
D16S539	13.2	NA	265	0	0	0
D16S539	14	14	267	25	7	7
D16S539	14.2	NA	269	0	0	0
D16S539	15	15	271	4	0	0
D16S539	15.2	NA	273	0	0	0
D16S539	16	NA	275	0	0	0
D16S539	-100	NA	NA	0	0	0
D19S433	10	8	107	0	2	1
D19S433	10.2	NA	109	0	1	0
D19S433	11	9	111	0	24	0
D19S433	12	10	115	76	37	22
D19S433	12.2	NA	117	0	11	4
D19S433	13	11	119	194	90	104
D19S433	13.2	NA	121	11	13	8
D19S433	14	12	123	334	83	101
D19S433	14.2	NA	125	13	11	27
D19S433	15	13	127	155	25	69
D19S433	15.2	NA	129	33	16	28
D19S433	16	14	131	36	3	21
D19S433	16.2	NA	133	15	9	9
D19S433	17	15	135	4	0	5
D19S433	17.2	NA	137	0	2	1
D19S433	18	16	139	0	1	0
D19S433	18.2	NA	141	2	0	0
D19S433	19.2	NA	145	1	0	0
D19S433	-100	NA	NA	0	0	0
D2S1338	16	NA	295	32	13	4
D2S1338	17	11	299	162	48	40
D2S1338	18	NA	303	76	18	48
D2S1338	19	NA	307	96	52	58
D2S1338	20	NA	311	121	24	55
D2S1338	21	NA	315	28	37	20
D2S1338	22	NA	319	21	44	24
D2S1338	23	13	323	98	36	62
D2S1338	24	NA	327	124	22	41
D2S1338	25	NA	331	97	27	43
D2S1338	26	NA	335	17	7	2
D2S1338	27	NA	339	2	0	2
D2S1338	28	NA	343	0	0	1
D2S1338	-100	NA	NA	0	0	0
